episode,best_reward
0,-8.099999999999998
3,-6.299999999999999
7,-5.699999999999998
29,-4.499999999999998
43,-3.899999999999998
67,0.3000000000000007
417,3.299999999999999
4052,3.8999999999999986
10965,4.4999999999999964
11639,4.799999999999995
14802,4.999999999999995
18051,6.099999999999994
19320,6.799999999999992
23895,8.699999999999985
31196,9.199999999999983
32467,9.299999999999983
33768,10.99999999999998
35202,13.599999999999971
42067,13.89999999999997
44301,15.399999999999974
45838,26.90000000000011
52224,28.100000000000126
52976,38.60000000000023
55909,40.90000000000026
56428,45.90000000000032
58531,50.40000000000037
65424,62.5000000000005
66454,66.90000000000033
74787,67.10000000000032
105897,79.09999999999975
117010,83.59999999999955
263209,102.79999999999869
431659,102.89999999999868
