EfficientKAN_32,EfficientKAN_16,MLP_256,MLP_512,MLP_512_256,FasterKAN_32,FasterKAN_128_128,FasterKAN_128_64,FasterKAN_64_64,MLP_256_256,MLP_256_128
12,28,2,43,191,11,775,58,56,62,11
4,5,8,13,853,22,475,0,80,41,4
38,4,1,17,5744,21,376,33,22,142,77
148,4,2,5,377,17,13,2,35,43,125
35,2,2,11,1529,39,1087,2,20,115,17
72,7,1,0,584,98,175,14,176,230,17
46,3,2,8,7,23,70,2,125,91,23
149,10,17,10,106,20,34,0,15,104,86
478,1,4,5,743,5,43,49,83,59,29
32,2,17,7,497,12,349,0,161,43,17
47,7,1,8,716,10,73,6,58,167,2
60,1,2,5,1067,23,4,0,5,133,89
496,1,17,2,25,11,202,0,11,88,46
57,4,2,1,110,41,223,52,119,458,1
116,8,2,29,353,50,1708,0,106,248,1
92,8,4,23,767,23,349,38,1,88,14
167,1,2,7,1724,5,331,15,65,4,17
49,7,2,1,197,22,199,3,29,245,56
13,11,5,32,506,11,367,2,28,158,292
77,6,25,8,1474,58,139,34,79,125,208
14,5,5,10,64,93,131,8,154,218,31
132,2,16,4,239,11,105,20,44,19,35
55,4,11,16,272,8,46,41,2,95,68
22,2,2,11,1025,2,25,42,15,239,1
56,1,14,12,1046,66,223,0,2,316,31
26,1,11,2,2360,9,340,6,147,119,56
80,5,2,43,566,26,157,87,10,77,53
19,2,2,29,71,26,361,6,14,38,1
1,1,10,2,1451,43,223,18,57,5,4
98,4,5,5,188,15,241,56,257,17,26
52,1,1,5,1088,44,110,2,23,404,35
53,2,8,5,557,41,73,42,83,365,29
1,2,1,7,146,10,97,0,149,130,32
76,1,5,29,530,5,718,6,17,73,92
185,13,8,0,275,5,412,0,1,160,34
1,7,5,17,11,11,35,0,26,73,4
3,3,14,20,1427,35,112,29,38,7,116
71,1,5,2,101,50,343,0,38,200,1
64,1,1,77,733,32,73,0,2,293,44
194,10,2,11,1210,32,118,50,83,26,302
223,13,3,7,688,5,172,18,56,55,32
231,9,1,8,763,4,124,87,90,23,1
17,10,5,2,17,11,175,0,41,14,50
50,3,5,3,406,6,73,6,56,116,124
341,1,5,8,928,24,83,2,43,283,17
40,5,3,8,35,9,13,21,23,91,1
20,22,4,0,2375,15,547,0,17,4,233
317,2,11,8,448,41,304,6,74,497,11
1,2,4,5,113,14,199,8,77,76,22
139,7,21,31,1451,23,10,3,152,50,20
107,26,1,4,1397,36,706,15,1,112,41
429,7,5,0,44,35,199,0,44,86,38
29,1,1,8,634,11,333,61,59,16,152
31,4,6,5,995,27,94,0,98,92,23
71,1,3,29,353,22,319,48,29,41,50
5,1,4,17,203,8,223,37,39,79,8
1,1,1,8,383,48,262,74,10,47,53
87,11,18,2,452,23,778,66,19,41,115
17,4,13,7,1220,63,118,10,17,197,34
29,1,9,17,121,33,118,0,50,11,599
28,10,14,4,211,16,70,12,20,158,11
1,10,5,5,131,1,814,0,98,115,1
196,1,8,5,713,38,496,2,1,226,92
34,6,7,7,1256,31,187,12,77,148,32
26,5,5,0,677,24,196,18,18,379,14
91,7,14,5,2579,19,172,0,35,14,101
80,14,1,19,143,55,370,30,46,157,4
194,5,3,11,2711,56,121,0,35,22,58
1,2,1,8,170,10,445,0,102,31,44
52,13,2,8,917,14,247,0,14,233,20
116,1,8,55,11,5,70,24,28,115,26
106,8,2,0,784,6,229,15,27,5,197
86,3,1,16,40,6,83,35,41,178,2
28,1,8,8,2333,5,520,0,3,98,23
14,3,5,23,209,26,781,3,28,285,29
102,16,4,13,602,11,442,70,14,485,32
161,6,4,0,1541,38,601,0,66,533,62
1,1,3,11,743,6,379,0,29,2,59
53,3,4,4,641,31,85,43,29,394,85
40,2,3,1,3425,26,310,0,16,478,158
49,13,5,4,1382,5,537,0,17,22,11
81,7,4,4,317,22,619,0,4,370,25
13,3,23,35,992,11,643,35,60,80,38
212,2,7,8,1133,11,919,21,38,26,20
35,10,2,11,5,22,163,0,53,5,29
96,10,14,1,493,26,124,12,32,19,167
49,5,6,1,260,64,180,9,13,314,5
10,19,13,0,1781,32,127,3,104,226,1
28,13,1,7,97,38,559,27,1,16,32
68,5,1,55,233,40,100,42,95,253,101
53,1,23,2,799,16,67,69,176,301,4
52,5,2,2,1805,1,520,0,56,145,1
176,2,1,1,1511,15,316,0,8,262,2
22,8,2,35,490,11,116,37,107,103,23
130,14,4,8,799,11,643,14,20,385,49
10,2,2,41,224,12,61,45,59,568,8
137,5,1,2,311,36,28,6,116,23,65
32,1,8,5,791,28,844,0,5,163,20
90,3,14,1,2105,11,115,0,185,121,38
14,7,27,14,473,14,6,22,1,460,1
37,4,8,9,1643,5,34,10,2,41,125
23,8,2,37,1295,2,43,0,7,913,56
541,6,3,1,20,8,394,7,4,14,143
142,7,13,28,794,11,901,11,123,22,38
224,7,8,43,248,11,4,0,13,760,317
128,7,5,10,263,5,76,0,38,248,47
44,1,1,7,182,71,61,0,4,118,68
208,2,11,10,257,11,139,2,81,41,16
4,2,9,2,740,8,34,8,109,304,31
70,6,1,2,164,23,322,42,159,380,14
88,4,5,2,622,11,484,29,30,61,134
29,2,8,2,317,14,163,0,26,173,5
19,13,4,1,1145,2,100,8,30,11,41
1,7,5,23,1129,20,292,0,44,56,7
112,9,11,8,1271,41,76,15,22,11,119
7,3,6,5,631,21,253,2,1,131,44
11,4,4,1,83,2,832,39,44,58,32
133,2,11,2,305,22,121,0,10,80,10
197,1,2,7,254,32,19,25,146,148,25
37,2,1,8,173,53,52,0,56,125,98
60,1,6,5,164,14,73,140,20,152,23
92,5,4,5,299,40,58,0,34,55,1
206,3,7,2,437,22,316,20,35,44,59
7,13,3,14,575,7,223,19,2,29,20
203,8,5,14,539,8,1006,0,31,572,11
135,1,5,8,26,20,946,21,9,44,1
187,1,2,17,118,38,169,0,41,227,4
28,2,8,23,157,23,142,11,11,194,41
95,1,4,16,29,14,286,28,35,53,101
143,4,1,0,919,29,844,0,12,260,143
22,17,14,8,74,21,193,2,7,115,2
48,11,4,4,368,14,169,9,22,149,23
42,7,2,10,518,8,43,18,36,113,65
5,2,1,0,3943,14,202,33,98,143,23
329,10,1,7,428,10,154,27,29,28,146
88,4,3,14,620,6,436,0,44,191,40
32,7,3,1,599,2,43,6,64,62,68
64,1,1,18,2021,6,127,30,22,158,50
17,4,4,1,83,1,127,28,53,82,5
142,3,14,11,230,8,364,31,23,398,179
367,16,3,5,383,62,75,17,18,383,1
96,6,4,1,191,2,301,7,59,97,35
37,2,7,1,23,8,502,0,102,263,152
112,1,5,7,1253,32,63,27,149,112,8
17,4,1,2,3448,59,28,36,1,266,62
87,26,2,2,488,25,73,20,26,191,146
1,6,23,1,209,27,463,13,8,35,32
23,4,6,4,3163,26,79,0,18,526,59
64,6,11,2,944,58,49,0,31,44,116
287,5,1,8,605,11,71,0,11,50,8
24,13,18,11,649,53,148,16,74,35,56
61,4,37,20,959,8,79,16,5,37,44
4,3,2,1,2045,6,79,0,67,2,71
26,5,1,8,74,2,24,3,2,146,41
35,2,5,17,1592,7,406,18,53,178,20
67,9,13,2,2191,62,25,0,38,25,242
1,2,4,2,587,6,781,0,88,86,28
3,5,2,5,130,32,43,10,2,68,92
52,5,26,11,1966,14,193,47,20,181,71
107,1,2,31,1748,34,184,0,154,463,2
46,16,1,22,946,7,262,0,1,4,4
48,16,6,5,848,17,451,0,22,86,82
119,2,2,16,950,8,136,0,53,188,7
126,5,23,35,269,14,304,22,91,86,31
106,4,10,8,3448,19,1303,32,140,103,53
113,4,3,23,959,14,511,0,42,34,17
16,1,11,22,491,10,163,8,20,97,8
45,5,3,1,1070,5,103,0,53,320,38
178,4,6,34,2099,9,673,44,32,412,32
1,1,3,10,2828,29,145,20,112,37,64
73,13,1,0,668,2,25,53,59,91,68
13,4,1,16,628,12,148,26,37,89,44
134,2,1,20,74,32,493,24,13,64,23
78,6,23,8,911,2,382,0,49,5,4
317,2,5,0,254,20,409,0,32,296,53
33,5,2,5,71,15,76,16,23,17,53
77,7,5,6,74,22,22,29,7,148,326
139,7,5,11,146,17,208,0,112,4,112
311,3,11,16,3916,26,352,41,1,43,20
54,1,1,11,1382,14,112,0,77,10,41
47,2,3,26,1955,20,148,29,97,23,61
64,4,5,4,161,42,232,87,20,205,163
29,1,1,58,1075,86,592,0,65,406,2
304,1,11,19,157,11,55,11,1,143,86
50,6,1,10,175,23,478,35,119,5,155
1,3,5,16,443,8,88,5,135,41,23
58,4,1,2,2531,4,25,9,218,49,85
14,1,19,8,671,23,166,28,84,188,1
118,1,2,11,53,8,207,4,17,226,35
73,2,5,2,890,8,58,0,74,134,254
29,1,5,0,3863,11,841,17,102,31,38
128,1,10,0,58,10,14,0,49,188,20
20,1,20,41,290,7,37,0,7,358,58
128,10,11,5,971,10,61,24,5,8,50
41,3,2,20,2348,25,160,2,16,53,65
1,4,2,35,986,14,13,0,115,88,44
74,3,8,0,47,43,187,0,17,71,140
35,5,3,8,587,8,103,56,37,52,20
188,7,11,1,716,14,523,21,152,133,187
44,1,1,5,1234,11,250,0,59,178,61
457,1,11,2,398,29,109,11,17,182,50
40,2,8,17,176,18,178,16,86,167,100
210,1,2,8,581,6,301,41,226,28,1
53,1,1,4,604,11,307,12,63,38,41
58,2,5,8,5,14,85,0,98,137,38
36,1,2,1,164,2,472,12,49,647,8
37,4,2,1,2966,5,51,35,101,73,242
43,2,8,4,149,17,448,2,65,761,11
71,4,20,1,299,49,976,5,59,41,59
155,2,5,8,347,11,211,27,6,398,110
1,2,8,18,1202,1,676,2,1,38,7
25,1,4,8,173,17,217,0,95,365,4
160,7,1,11,269,14,32,25,299,106,86
20,6,8,2,1513,8,169,30,5,2,133
79,5,6,23,578,44,394,13,59,67,59
199,5,8,25,305,24,310,0,44,61,2
193,2,5,5,866,5,316,8,23,488,4
89,6,10,1,95,7,829,18,18,8,76
115,10,5,13,941,44,940,0,149,157,38
116,16,1,5,560,44,397,10,24,86,71
11,2,2,2,1505,74,433,33,2,98,14
58,8,6,10,431,28,16,0,103,91,5
60,3,4,10,857,11,10,114,68,142,17
4,7,5,52,814,41,184,40,46,58,17
63,2,3,8,122,11,148,14,1,13,32
152,5,3,7,1144,26,31,2,51,40,23
83,6,10,17,20,26,283,0,22,124,22
239,5,1,5,535,43,154,0,56,92,223
46,1,5,1,395,44,688,24,20,52,16
11,2,2,16,2,2,154,0,1,65,205
136,2,16,5,26,41,19,39,70,500,116
68,1,5,8,3058,22,85,16,11,137,110
206,11,25,4,353,10,63,0,28,58,53
29,4,1,1,1298,44,67,22,8,107,17
2,3,7,2,1052,22,58,0,43,199,263
26,2,1,8,2806,51,106,6,30,52,50
19,1,5,0,218,3,256,44,33,56,62
155,5,2,0,1714,21,145,23,11,148,46
63,5,7,0,1114,42,112,12,43,116,28
40,7,5,10,860,65,145,66,4,37,11
91,3,2,4,623,56,61,0,88,140,107
13,2,4,17,314,20,55,0,20,70,110
112,7,14,14,322,5,163,15,25,272,7
125,5,8,16,1820,35,248,0,1,103,2
2,6,11,29,113,24,139,21,8,22,112
103,1,7,14,1219,32,607,36,8,161,20
49,17,2,4,76,18,178,69,21,211,20
73,5,11,23,149,2,496,3,73,20,10
160,7,3,3,617,15,19,27,11,86,40
33,5,4,29,1013,104,592,0,85,118,305
121,1,1,5,779,14,937,11,2,28,326
9,1,1,4,911,32,370,27,8,473,100
43,16,23,0,107,9,265,18,20,205,113
101,2,2,8,917,21,583,4,19,100,167
11,3,1,2,455,5,133,33,1,391,128
1,19,1,8,236,18,160,23,5,317,67
64,4,27,44,706,17,46,0,109,11,152
38,8,5,2,1268,41,478,48,102,137,17
386,4,5,4,1114,68,98,66,53,4,92
82,3,3,2,26,14,4,15,8,142,137
251,2,5,10,326,29,229,11,56,11,85
79,4,4,20,416,23,130,3,14,230,26
47,2,22,0,290,7,88,0,20,299,188
44,19,2,0,413,5,106,5,20,32,58
19,2,6,5,2477,15,364,10,41,20,155
103,4,7,2,337,2,439,24,53,169,86
1,3,5,4,316,29,211,0,1,356,23
1,1,1,23,1967,5,130,5,93,19,4
531,4,5,7,1781,8,130,5,1,241,29
8,7,2,13,239,23,445,0,27,136,17
83,1,11,1,65,10,394,18,37,187,38
230,7,14,25,959,9,478,2,32,265,38
26,2,23,17,1709,32,550,0,26,25,29
2,1,4,18,77,9,652,31,23,175,46
43,10,2,35,17,8,1099,21,146,49,98
73,16,5,41,599,8,310,2,8,533,83
112,2,3,77,1031,20,67,62,1,352,11
140,1,2,10,371,15,526,0,44,158,47
34,20,2,32,1613,11,10,0,5,125,32
97,2,1,28,589,78,43,25,67,436,41
50,6,3,1,1697,22,1882,0,156,148,95
67,1,22,17,2384,15,328,23,59,439,26
130,1,2,13,314,53,223,3,5,80,134
4,1,8,4,29,12,238,0,22,44,47
64,1,11,10,350,26,268,8,58,424,47
187,1,5,31,467,14,736,12,41,79,20
127,4,1,2,155,29,940,36,220,172,53
173,4,1,2,464,25,295,16,4,20,35
101,5,2,5,101,14,505,15,63,5,74
225,1,2,14,833,8,121,6,1,46,17
70,2,8,0,685,8,531,13,100,83,233
240,1,1,8,545,14,165,30,7,181,53
110,2,1,17,1384,29,165,0,14,56,43
46,4,20,2,134,13,43,54,14,200,35
66,1,2,0,454,85,777,33,34,136,17
206,2,1,11,809,4,180,0,19,335,299
76,2,5,5,35,14,106,9,93,181,68
195,10,4,2,131,44,334,0,18,140,38
14,4,11,32,1670,10,234,14,182,88,1
109,7,2,2,449,11,430,0,3,143,41
343,4,8,10,2210,9,595,0,76,92,49
31,2,2,2,179,59,490,35,3,65,16
119,2,1,14,217,22,133,0,23,32,4
25,3,8,38,1139,60,775,15,28,19,143
261,5,3,8,1922,19,196,0,8,607,4
151,1,4,5,2267,11,22,0,78,169,35
276,1,2,4,725,26,13,0,1,239,53
24,4,4,16,92,52,181,37,66,431,128
92,1,14,23,218,44,61,84,96,65,1
164,1,1,34,506,5,37,30,50,409,31
85,1,1,8,79,8,19,0,107,202,116
364,9,4,10,385,53,7,6,8,278,31
16,8,1,5,74,8,169,0,20,22,158
1,3,2,1,2762,2,376,132,62,238,50
41,7,5,2,707,26,136,0,103,4,124
327,2,1,50,2450,9,4,20,1,8,11
151,2,3,2,1424,21,28,2,83,89,137
97,4,11,10,566,12,787,21,41,227,41
25,2,8,5,1292,10,823,0,33,242,47
6,23,4,0,304,2,625,0,79,268,149
59,16,5,8,338,17,67,0,2,145,176
179,4,3,0,1043,71,184,9,25,56,11
15,1,16,10,673,8,1165,5,38,50,56
50,12,2,7,89,14,658,0,68,31,146
67,6,2,35,1940,10,286,2,2,70,11
112,1,13,13,671,17,82,9,26,2,77
11,5,17,1,1271,50,283,39,130,178,20
5,7,2,23,7,1,250,0,75,250,11
58,3,2,13,710,10,7,37,10,298,26
123,3,8,25,592,17,216,2,118,331,19
62,8,9,10,335,28,103,33,22,130,83
287,13,7,7,1580,89,43,114,1,86,14
73,2,3,16,47,29,511,10,61,70,1
62,1,11,4,4082,8,67,4,94,281,98
53,9,1,4,131,5,57,0,98,44,47
145,4,2,11,608,11,169,3,130,72,104
63,8,2,6,341,5,123,0,87,95,56
21,5,2,10,152,17,58,0,60,161,88
80,2,3,38,1235,11,230,0,2,73,8
60,4,1,37,701,53,412,25,5,715,128
34,1,10,20,1442,26,451,42,1,97,1
58,1,3,13,349,12,778,33,22,79,56
66,13,4,4,863,11,46,0,71,8,1
2,14,19,1,35,10,166,39,25,16,229
44,8,16,20,1289,47,103,49,25,139,14
31,17,1,2,1019,23,163,0,6,16,71
61,1,1,13,182,15,265,6,5,466,35
58,4,5,4,142,44,292,30,40,34,62
14,14,4,5,1345,2,55,24,44,74,43
1,1,1,20,41,3,40,11,5,248,17
125,4,1,10,1682,41,73,0,5,245,71
131,10,3,0,248,5,409,9,23,14,59
1,8,1,35,2852,2,31,0,28,20,155
52,5,1,4,2066,13,132,0,16,10,14
31,2,2,4,740,11,394,15,44,86,74
181,10,1,8,706,4,238,2,14,437,37
79,16,3,32,365,7,4,58,62,19,41
62,4,2,23,458,14,577,27,1,11,32
143,2,1,1,374,18,52,27,5,233,4
89,5,2,13,1702,21,67,12,11,20,185
35,3,1,7,2837,15,319,15,163,119,20
208,10,1,8,68,8,211,41,9,40,62
313,6,3,14,1511,7,46,0,14,71,46
1,6,15,10,229,26,342,0,23,277,4
106,8,3,11,413,32,166,0,139,286,1
122,9,1,28,1423,50,91,0,37,50,20
323,8,6,5,2414,20,46,33,10,77,71
11,2,2,5,110,5,145,8,29,154,85
134,10,2,1,2507,41,111,0,28,137,124
2,3,13,4,2579,19,157,37,6,178,14
110,5,20,0,314,58,111,9,11,506,41
39,1,19,8,404,8,124,51,9,50,50
1,7,8,14,629,13,436,9,44,49,29
68,1,8,7,254,2,961,15,137,64,1
25,25,8,13,17,25,64,0,62,113,41
202,1,1,35,86,17,25,53,31,11,28
19,1,16,26,2,8,4,0,65,13,23
53,5,6,1,722,65,142,24,10,26,174
9,2,1,20,110,26,751,25,53,109,154
43,5,5,5,1028,10,169,0,17,53,44
112,1,1,2,4,11,109,13,116,2,43
391,4,1,13,191,50,10,0,26,101,59
228,2,10,25,62,17,436,0,10,88,8
65,7,1,5,866,23,376,0,38,290,23
150,8,11,32,98,15,466,0,25,46,2
39,18,13,5,119,14,172,0,8,67,95
19,2,5,20,227,25,457,68,91,119,86
64,1,4,5,41,8,25,0,53,136,44
15,16,2,1,245,11,151,0,35,4,287
154,7,3,11,362,4,160,0,6,43,11
127,13,4,7,367,11,6,0,61,194,1
