EfficientKAN_32,EfficientKAN_16,MLP_256,MLP_512,MLP_512_256,FasterKAN_32,FasterKAN_128_128,FasterKAN_128_64,FasterKAN_64_64,MLP_256_256,MLP_256_128
25,4,11,23,619,23,763,33,5,98,215
56,2,2,6,620,10,426,30,18,317,26
293,1,13,16,1838,9,205,5,8,72,50
434,2,9,1,1069,8,88,0,14,59,1
16,2,1,25,17,41,652,11,14,62,122
36,1,4,29,38,5,903,0,35,238,2
2,2,11,2,398,35,310,2,6,559,172
232,1,5,17,95,17,517,11,57,98,83
1,5,2,17,482,3,331,23,47,20,77
49,2,2,28,955,5,307,5,47,118,64
83,4,2,1,478,4,385,12,26,271,35
45,5,8,8,293,17,118,70,50,58,26
296,4,5,32,1400,29,31,27,5,25,238
7,1,3,22,350,27,1939,0,74,59,92
137,5,3,3,1721,35,139,0,41,100,137
80,16,5,7,569,74,148,0,17,184,41
1,19,2,5,350,14,100,20,8,241,118
11,1,20,10,1511,14,145,0,7,22,202
445,14,3,26,782,14,796,2,7,431,13
182,2,17,13,1700,14,169,0,20,199,74
209,1,1,1,545,16,265,39,31,83,140
25,13,2,1,35,7,127,0,158,284,38
31,2,2,2,911,44,505,9,47,170,44
29,8,7,7,1022,17,10,54,23,7,47
56,4,14,14,434,26,316,0,36,247,4
97,6,5,3,278,14,442,0,1,71,266
52,4,2,4,502,5,1135,16,17,55,41
170,20,1,1,14,5,43,2,1,202,101
1,17,10,11,290,16,517,0,1,23,47
16,7,5,0,374,2,103,0,2,65,4
5,1,2,1,68,11,22,30,10,163,92
1,1,2,20,1307,56,43,23,178,140,83
11,16,3,10,812,10,340,0,17,13,110
46,28,10,2,140,29,16,21,31,122,44
95,9,2,0,983,38,1786,18,56,31,32
595,8,2,4,50,8,799,0,46,19,29
192,13,32,12,869,7,13,13,35,193,20
73,2,2,10,8,15,118,11,22,94,5
101,4,1,1,320,14,4,13,71,37,103
155,5,8,5,355,47,496,0,2,490,11
14,4,2,23,1628,38,370,12,210,269,178
28,4,2,2,449,8,407,0,53,29,5
47,5,14,25,401,5,109,5,14,32,46
71,9,5,8,758,26,1099,107,59,311,32
49,4,3,41,80,11,331,71,29,10,64
38,2,2,1,844,33,19,0,40,608,86
28,2,1,1,1298,41,27,28,86,32,83
250,1,2,5,35,16,75,33,5,69,65
112,3,2,29,446,26,385,11,54,28,10
63,4,2,10,908,47,178,12,1,89,5
65,5,2,1,878,25,937,23,68,22,191
68,2,19,10,923,48,96,0,110,592,197
80,2,10,10,386,80,67,30,20,250,233
140,1,2,2,2,23,130,0,2,23,20
