episode,best_reward
0,-8.7
2,-8.099999999999998
6,-6.299999999999999
11,-5.699999999999998
38,-3.299999999999998
301,-2.099999999999998
1019,-1.4999999999999982
1247,1.5
1587,2.0999999999999996
2101,3.299999999999999
2826,3.8999999999999986
7329,4.399999999999997
7597,4.699999999999996
13062,4.999999999999995
13288,8.399999999999986
25827,8.499999999999986
26259,10.699999999999982
28932,12.899999999999974
34656,13.89999999999997
38844,13.99999999999997
40627,17.90000000000001
43741,19.000000000000025
45257,22.600000000000062
46707,24.80000000000008
49700,24.90000000000008
50869,26.90000000000011
51168,27.00000000000011
51561,32.200000000000166
52951,33.00000000000018
56049,36.40000000000021
56257,40.90000000000026
59076,46.400000000000325
60187,55.20000000000042
60884,57.100000000000435
64333,65.20000000000037
66188,76.5999999999999
68767,88.49999999999933
75508,94.6999999999991
431105,101.89999999999874
