episode,best_reward
0,-8.099999999999998
1,-6.899999999999999
12,-6.299999999999999
65,-5.099999999999998
176,-3.299999999999998
931,-1.4999999999999982
1067,-0.8999999999999986
1505,1.5
3473,3.8999999999999986
8177,4.399999999999997
9395,4.999999999999995
11220,6.199999999999994
14593,6.299999999999994
15492,8.399999999999986
22107,9.399999999999983
31464,10.99999999999998
32882,12.899999999999974
53084,18.200000000000014
57149,22.40000000000006
57874,22.600000000000062
59313,23.30000000000007
61214,25.00000000000008
61562,27.900000000000123
66614,31.900000000000162
70528,48.100000000000335
103284,48.60000000000034
111507,50.40000000000037
114182,52.70000000000039
116551,62.20000000000049
143005,67.00000000000033
151307,69.60000000000018
152954,79.09999999999975
179737,85.09999999999953
205544,90.29999999999929
210252,104.39999999999866
914224,106.39999999999854
