episode,best_reward
0,-8.099999999999998
1,-7.499999999999998
8,-6.899999999999999
32,-3.899999999999998
99,-3.299999999999998
302,-0.29999999999999893
692,0.9000000000000004
1553,2.0999999999999996
2152,3.8999999999999986
7680,3.9999999999999982
9094,4.4999999999999964
13301,4.899999999999995
14463,5.999999999999995
16467,6.099999999999994
16530,6.399999999999993
17175,6.5999999999999925
18317,7.7999999999999865
18523,8.399999999999986
20579,11.29999999999998
57630,11.699999999999974
58357,12.299999999999974
58890,12.899999999999974
63202,24.90000000000008
68973,26.90000000000011
92301,31.900000000000162
96626,40.90000000000026
120944,45.90000000000032
125932,51.500000000000384
138992,55.10000000000042
200601,55.20000000000042
213355,64.40000000000042
293853,76.09999999999992
590980,78.39999999999979
649463,99.79999999999886
