episode,best_reward
0,-8.099999999999998
1,-6.299999999999999
14,-5.699999999999998
27,-3.299999999999998
386,-2.099999999999998
1226,-1.4999999999999982
1678,2.6999999999999993
4299,3.8999999999999986
9116,4.299999999999997
10899,5.999999999999995
14229,6.399999999999993
16285,6.499999999999993
18652,10.799999999999981
26676,11.29999999999998
57984,12.899999999999974
58130,13.499999999999972
58394,17.90000000000001
59747,18.100000000000012
59905,22.40000000000006
61154,24.700000000000077
64066,46.70000000000033
99270,50.70000000000037
103829,62.5000000000005
105305,66.70000000000034
109997,68.90000000000022
230780,73.89999999999999
236756,76.79999999999988
282901,78.39999999999979
314041,79.29999999999974
319469,90.19999999999929
