07-30_16-56-37: Training started 
Configuration: {'env_id': 'FlappyBird-v0', 'experience_replay_size': 100000, 'batch_size': 32, 'epsilon_start': 1.0, 'epsilon_end': 0.05, 'epsilon_decay': 0.99995, 'network_update_frequency': 10, 'learning_rate': 0.0001, 'discount_factor': 0.99, 'stop_on_reward': 100000, 'max_episodes': 1000000, 'model_params': {'model_type': 'mlp', 'num_hidden_units': [256, 128]}, 'env_params': {'use_lidar': False}}
07-30_16-56-38: Episode 0, New best reward: -7.499999999999998
07-30_16-56-38: Episode 1, New best reward: -6.899999999999999
07-30_16-56-38: Episode 7, New best reward: -6.299999999999999
07-30_16-56-38: Episode 13, New best reward: -5.699999999999998
07-30_16-56-38: Episode 15, New best reward: -5.099999999999998
07-30_16-56-38: Episode 74, New best reward: -3.899999999999998
07-30_16-56-40: Episode 563, New best reward: -3.299999999999998
07-30_16-56-41: Episode 846, New best reward: -2.699999999999998
07-30_16-56-42: Episode 1173, New best reward: 1.5
07-30_16-56-53: Episode 3713, New best reward: 3.299999999999999
07-30_16-56-56: Episode 4214, New best reward: 3.8999999999999986
07-30_16-57-15: Episode 8308, New best reward: 4.299999999999997
07-30_16-57-30: Episode 11092, New best reward: 4.899999999999995
07-30_16-57-34: Episode 11931, New best reward: 4.999999999999995
07-30_16-57-37: Episode 12528, New best reward: 5.999999999999995
07-30_16-57-41: Episode 13322, New best reward: 6.399999999999993
07-30_16-57-58: Episode 16307, New best reward: 6.5999999999999925
07-30_16-58-14: Episode 19222, New best reward: 6.699999999999992
07-30_16-58-28: Episode 21624, New best reward: 8.399999999999986
07-30_17-01-15: Episode 47042, New best reward: 8.499999999999986
07-30_17-01-19: Episode 47550, New best reward: 10.499999999999982
07-30_17-01-32: Episode 49536, New best reward: 12.899999999999974
07-30_17-01-42: Episode 50888, New best reward: 18.70000000000002
07-30_17-01-46: Episode 51472, New best reward: 20.500000000000032
07-30_17-01-58: Episode 53037, New best reward: 26.90000000000011
07-30_17-02-13: Episode 55043, New best reward: 27.00000000000011
07-30_17-02-17: Episode 55502, New best reward: 29.800000000000136
07-30_17-02-47: Episode 59299, New best reward: 36.600000000000215
07-30_17-03-30: Episode 64563, New best reward: 45.90000000000032
07-30_17-07-04: Episode 87775, New best reward: 51.40000000000038
07-30_17-10-32: Episode 108076, New best reward: 52.600000000000385
07-30_17-14-16: Episode 129323, New best reward: 54.90000000000042
07-30_17-15-20: Episode 135165, New best reward: 64.40000000000042
07-30_17-16-54: Episode 143753, New best reward: 66.70000000000034
07-30_17-18-25: Episode 151797, New best reward: 69.50000000000018
07-30_17-19-52: Episode 159549, New best reward: 78.39999999999979
07-30_17-35-18: Episode 243334, New best reward: 83.99999999999953
07-30_17-39-53: Episode 267672, New best reward: 101.89999999999874
07-30_18-16-20: Episode 439784, New best reward: 104.19999999999867
07-30_18-21-50: Episode 463702, New best reward: 110.89999999999834
07-30_19-18-46: Episode 688821, New best reward: 111.99999999999828
07-30_19-55-11: Episode 820518, New best reward: 118.09999999999805
Time taken: 3:49:25, Average time: 72.64 episodes/s
