episode,best_reward
0,-7.499999999999998
1,-6.899999999999999
7,-6.299999999999999
13,-5.699999999999998
15,-5.099999999999998
74,-3.899999999999998
563,-3.299999999999998
846,-2.699999999999998
1173,1.5
3713,3.299999999999999
4214,3.8999999999999986
8308,4.299999999999997
11092,4.899999999999995
11931,4.999999999999995
12528,5.999999999999995
13322,6.399999999999993
16307,6.5999999999999925
19222,6.699999999999992
21624,8.399999999999986
47042,8.499999999999986
47550,10.499999999999982
49536,12.899999999999974
50888,18.70000000000002
51472,20.500000000000032
53037,26.90000000000011
55043,27.00000000000011
55502,29.800000000000136
59299,36.600000000000215
64563,45.90000000000032
87775,51.40000000000038
108076,52.600000000000385
129323,54.90000000000042
135165,64.40000000000042
143753,66.70000000000034
151797,69.50000000000018
159549,78.39999999999979
243334,83.99999999999953
267672,101.89999999999874
439784,104.19999999999867
463702,110.89999999999834
688821,111.99999999999828
820518,118.09999999999805
