episode,best_reward
0,-8.7
1,-8.099999999999998
8,-7.499999999999998
9,-5.699999999999998
105,-5.099999999999998
116,-3.299999999999998
123,-2.099999999999998
387,1.5
1529,3.8999999999999986
10927,4.899999999999995
15321,4.999999999999995
15874,5.999999999999995
16377,6.599999999999987
19200,8.399999999999986
25740,11.29999999999998
32800,13.99999999999997
37611,17.90000000000001
45189,20.200000000000028
45714,22.700000000000063
46000,36.40000000000021
53629,37.60000000000023
55296,40.90000000000026
57211,43.70000000000029
58398,46.70000000000033
59448,46.90000000000033
60004,54.90000000000042
66131,92.39999999999917
98445,104.49999999999865
365735,108.89999999999846
869790,121.19999999999787
