07-18_19-54-46: Training started 
Configuration: {'env_id': 'FlappyBird-v0', 'experience_replay_size': 100000, 'batch_size': 32, 'epsilon_start': 1.0, 'epsilon_end': 0.05, 'epsilon_decay': 0.99995, 'network_update_frequency': 10, 'learning_rate': 0.0001, 'discount_factor': 0.99, 'stop_on_reward': 100000, 'max_episodes': 1000000, 'model_params': {'model_type': 'fasterkan', 'num_hidden_units': [128, 64]}, 'env_params': {'use_lidar': False}}
07-18_19-54-48: Episode 0, New best reward: -7.499999999999998
07-18_19-54-49: Episode 3, New best reward: -6.899999999999999
07-18_19-54-49: Episode 13, New best reward: -5.699999999999998
07-18_19-54-49: Episode 48, New best reward: -3.899999999999998
07-18_19-54-53: Episode 317, New best reward: 1.5
07-18_19-55-18: Episode 1890, New best reward: 3.8999999999999986
07-18_19-58-08: Episode 8857, New best reward: 3.9999999999999982
07-18_19-58-42: Episode 9949, New best reward: 4.1999999999999975
07-18_19-59-13: Episode 10936, New best reward: 4.799999999999995
07-18_19-59-26: Episode 11307, New best reward: 6.199999999999994
07-18_20-00-36: Episode 13413, New best reward: 8.399999999999986
07-18_20-09-10: Episode 25133, New best reward: 9.399999999999983
07-18_20-11-34: Episode 28304, New best reward: 10.499999999999982
07-18_20-13-50: Episode 31147, New best reward: 11.09999999999998
07-18_20-14-43: Episode 32242, New best reward: 12.899999999999974
07-18_20-15-58: Episode 33611, New best reward: 13.599999999999971
07-18_20-23-12: Episode 41324, New best reward: 17.90000000000001
07-18_20-23-45: Episode 41917, New best reward: 18.400000000000016
07-18_20-27-05: Episode 45229, New best reward: 18.900000000000023
07-18_20-27-36: Episode 45716, New best reward: 22.40000000000006
07-18_20-28-48: Episode 46773, New best reward: 27.80000000000012
07-18_20-30-05: Episode 47833, New best reward: 41.100000000000264
07-18_20-36-09: Episode 52807, New best reward: 43.40000000000028
07-18_20-40-49: Episode 56383, New best reward: 48.50000000000034
07-18_20-42-39: Episode 57669, New best reward: 48.700000000000344
07-18_20-42-55: Episode 57852, New best reward: 55.00000000000042
07-18_20-45-22: Episode 59538, New best reward: 57.200000000000436
07-18_20-48-35: Episode 61680, New best reward: 64.40000000000042
07-18_21-02-42: Episode 71274, New best reward: 67.10000000000032
07-18_21-03-12: Episode 71602, New best reward: 73.89999999999999
07-18_21-39-41: Episode 95042, New best reward: 73.99999999999999
07-18_21-48-30: Episode 100568, New best reward: 74.99999999999993
07-18_21-53-20: Episode 103595, New best reward: 79.29999999999974
07-18_22-20-28: Episode 120678, New best reward: 87.89999999999937
07-18_22-38-51: Episode 132841, New best reward: 88.59999999999933
07-18_23-31-09: Episode 165661, New best reward: 93.09999999999913
07-19_04-19-14: Episode 366165, New best reward: 99.29999999999889
07-19_11-37-06: Episode 651757, New best reward: 101.89999999999874
07-19_12-02-47: Episode 668295, New best reward: 104.49999999999865
