episode,best_reward
0,-7.499999999999998
3,-6.899999999999999
13,-5.699999999999998
48,-3.899999999999998
317,1.5
1890,3.8999999999999986
8857,3.9999999999999982
9949,4.1999999999999975
10936,4.799999999999995
11307,6.199999999999994
13413,8.399999999999986
25133,9.399999999999983
28304,10.499999999999982
31147,11.09999999999998
32242,12.899999999999974
33611,13.599999999999971
41324,17.90000000000001
41917,18.400000000000016
45229,18.900000000000023
45716,22.40000000000006
46773,27.80000000000012
47833,41.100000000000264
52807,43.40000000000028
56383,48.50000000000034
57669,48.700000000000344
57852,55.00000000000042
59538,57.200000000000436
61680,64.40000000000042
71274,67.10000000000032
71602,73.89999999999999
95042,73.99999999999999
100568,74.99999999999993
103595,79.29999999999974
120678,87.89999999999937
132841,88.59999999999933
165661,93.09999999999913
366165,99.29999999999889
651757,101.89999999999874
668295,104.49999999999865
