episode,best_reward
0,-7.499999999999998
8,-6.899999999999999
17,-5.099999999999998
96,-4.499999999999998
140,-2.699999999999998
741,-1.4999999999999982
834,-0.8999999999999986
2123,-0.29999999999999893
2263,2.0999999999999996
2648,3.299999999999999
3851,3.8999999999999986
9308,4.799999999999937
11794,4.999999999999937
16729,6.49999999999937
17094,6.59999999999937
17966,8.39999999999937
44687,9.39999999999937
44810,11.19999999999937
44970,11.29999999999937
44989,12.89999999999937
45331,13.69999999999937
46588,17.89999999999937
47017,19.100000000000026
52704,22.40000000000006
56439,39.100000000000236
70092,45.90000000000032
85530,48.60000000000034
86096,50.40000000000037
89721,55.30000000000042                                                     
105356,64.40000000000042 
119611,65.00000000000038
122255,68.90000000000022
176335,76.79999999999988
190229,82.8999999999996
930155,104.79999999999863
